DateTime,email,ip,type,useragent
2021-09-16T17:17:14.484Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.47.70.126,Google Click,null
2021-09-16T17:17:14.655Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Google Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
2021-09-17T18:39:30.223Z,,50.232.195.100,Google Forms Login,
2021-09-17T18:40:13.351Z,,50.232.195.100,Google Forms Login,
2021-09-20T15:09:27.800Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,50.232.195.6,Google Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36"
2021-10-13T17:05:40.876Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-13T17:10:59.825Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,107.77.207.116,Skyward Click,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1"
2021-10-13T17:11:53.851Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,107.77.207.116,Skyward Click,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1"
2021-10-13T17:12:41.906Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-14T17:02:28.359Z,9199dd12d899dfe6d8d4856ddf20d4ae3eaab944aeb38efc67c1f27aac3ac8f2,12.177.158.6,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-14T17:06:57.141Z,9199dd12d899dfe6d8d4856ddf20d4ae3eaab944aeb38efc67c1f27aac3ac8f2,12.177.158.6,Dunkin Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-16T04:26:35.895Z,9199dd12d899dfe6d8d4856ddf20d4ae3eaab944aeb38efc67c1f27aac3ac8f2,205.169.39.140,Skyward Click,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
2021-10-16T04:26:38.300Z,9199dd12d899dfe6d8d4856ddf20d4ae3eaab944aeb38efc67c1f27aac3ac8f2,205.169.39.140,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
2021-10-16T21:15:27.499Z,9199dd12d899dfe6d8d4856ddf20d4ae3eaab944aeb38efc67c1f27aac3ac8f2,205.169.39.81,Skyward Click,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
2021-10-16T21:15:29.938Z,9199dd12d899dfe6d8d4856ddf20d4ae3eaab944aeb38efc67c1f27aac3ac8f2,205.169.39.81,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
2021-10-18T17:20:28.976Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,209.135.134.45,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
2021-10-18T20:19:56.503Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,103.11.64.76,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
2021-10-18T20:21:44.451Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,107.191.101.76,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
2021-10-18T20:24:12.334Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,216.104.38.105,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
2021-10-18T20:24:21.066Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,64.34.254.81,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
2021-10-18T20:24:23.528Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,199.195.192.30,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
2021-10-18T20:24:35.951Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,198.105.223.137,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
2021-10-18T20:24:39.999Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,199.101.102.108,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
2021-10-18T20:26:31.502Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,162.248.7.7,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
2021-10-18T20:26:31.678Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,66.180.164.61,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
2021-10-18T20:26:48.981Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,204.12.202.217,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
2021-10-18T20:26:49.174Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,104.206.225.245,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
2021-10-18T20:26:55.082Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,204.12.202.214,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
2021-10-18T20:28:02.252Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,104.47.55.126,Skyward Click,null
2021-10-18T20:28:02.637Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,12.177.158.6,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
2021-10-18T20:28:14.181Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,104.47.58.126,Skyward Click,null
2021-10-18T20:28:14.218Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,104.47.55.126,Dunkin Click,null
2021-10-18T20:28:14.318Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,12.177.158.6,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
2021-10-18T20:28:14.514Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,174.209.41.248,Skyward Click,"Mozilla/5.0 (Linux; Android 11; Pixel 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36"
2021-10-18T20:30:41.529Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,104.47.70.126,Skyward Click,null
2021-10-18T20:30:41.681Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,12.177.158.6,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
2021-10-18T20:30:55.753Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,104.47.70.126,Dunkin Click,null
2021-10-18T20:30:55.840Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,12.177.158.6,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
2021-10-18T20:31:56.859Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,104.47.55.126,Dunkin Click,null
2021-10-18T20:31:57.688Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,174.209.41.248,Dunkin Click,"Mozilla/5.0 (Linux; Android 11; Pixel 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36"
2021-10-18T20:34:36.255Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,104.47.58.126,Skyward Click,null
2021-10-18T20:34:36.721Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,12.177.158.6,Skyward Click,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
2021-10-18T21:43:09.656Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,104.47.55.126,Dunkin Click,null
2021-10-18T21:43:10.495Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,73.210.3.184,Dunkin Click,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
2021-10-18T21:43:24.074Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,204.12.202.212,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
2021-10-18T21:51:49.927Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,104.47.55.126,Skyward Click,null
2021-10-18T21:51:50.679Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,73.247.84.37,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
2021-10-18T21:51:56.978Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,73.247.84.37,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
2021-10-18T21:51:57.030Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,73.247.84.37,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
2021-10-18T21:52:02.237Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,173.232.105.124,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
2021-10-18T21:56:16.209Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,104.47.70.126,Skyward Click,null
2021-10-18T21:56:16.886Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,98.226.250.61,Skyward Click,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
2021-10-18T21:56:27.720Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,174.127.71.250,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
2021-10-18T21:57:12.451Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,104.47.55.126,Dunkin Click,null
2021-10-18T21:57:12.775Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,98.226.250.61,Dunkin Click,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
2021-10-18T21:57:35.479Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,192.3.140.219,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
2021-10-18T22:56:35.986Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,146.112.163.34,Skyward Click,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/90.0.4430.212 Safari/537.36"
2021-10-19T00:34:35.446Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.47.55.126,Skyward Click,null
2021-10-19T00:34:35.909Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,76.217.231.72,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-19T00:34:58.110Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,192.252.223.139,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
2021-10-19T01:23:59.853Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,104.47.58.126,Dunkin Click,null
2021-10-19T01:24:00.310Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,73.210.3.184,Dunkin Click,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
2021-10-19T01:24:13.603Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,52.226.104.181,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
2021-10-19T02:59:28.159Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.47.55.126,Dunkin Click,null
2021-10-19T02:59:28.493Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,76.217.231.72,Dunkin Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-19T02:59:39.806Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,99.198.127.146,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
2021-10-19T12:19:08.440Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,104.47.58.126,Skyward Click,null
2021-10-19T12:19:08.729Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,12.177.158.6,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
2021-10-19T12:19:23.213Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,208.73.20.253,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
2021-10-19T12:19:51.678Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,104.47.58.126,Dunkin Click,null
2021-10-19T12:19:51.768Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,12.177.158.6,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
2021-10-19T12:20:06.888Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,67.198.130.162,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
2021-10-19T12:35:27.123Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.47.55.126,Dunkin Click,null
2021-10-19T12:35:27.462Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Dunkin Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-19T12:35:32.621Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.47.55.126,Skyward Click,null
2021-10-19T12:35:32.726Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-19T12:35:42.192Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,162.220.51.251,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
2021-10-19T12:35:50.502Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.238.152.165,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
2021-10-19T13:31:14.129Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,104.47.58.126,Dunkin Click,null
2021-10-19T13:31:14.406Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,12.177.158.6,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
2021-10-19T13:31:26.745Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,199.83.208.81,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
2021-10-23T11:09:43.150Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,51.255.119.152,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.68"
2021-10-23T15:53:09.640Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,164.132.181.175,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 Edg/87.0.664.75"
2021-10-23T15:53:29.721Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,91.134.157.203,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15"
2021-10-25T14:52:44.031Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.47.55.126,Dunkin Click,null
2021-10-25T14:52:44.431Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
2021-10-25T14:52:59.016Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,198.57.46.193,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
2021-10-25T17:46:26.016Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-25T17:46:28.526Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
2021-10-25T17:48:06.455Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
