,DateTime,email,ip,type,useragent
46,2021-10-18T20:26:48.981Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,204.12.202.217,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
47,2021-10-18T20:26:49.174Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,104.206.225.245,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
48,2021-10-18T20:26:55.082Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,204.12.202.214,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
65,2021-10-18T21:43:24.074Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,204.12.202.212,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
70,2021-10-18T21:52:02.237Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,173.232.105.124,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
72,2021-10-18T21:56:16.886Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,98.226.250.61,Skyward Click,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
73,2021-10-18T21:56:27.720Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,174.127.71.250,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
76,2021-10-18T21:57:35.479Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,192.3.140.219,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
77,2021-10-18T22:56:35.986Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,146.112.163.34,Skyward Click,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/90.0.4430.212 Safari/537.36"
80,2021-10-19T00:34:58.110Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,192.252.223.139,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
83,2021-10-19T01:24:13.603Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,52.226.104.181,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
86,2021-10-19T02:59:39.806Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,99.198.127.146,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
89,2021-10-19T12:19:23.213Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,208.73.20.253,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
92,2021-10-19T12:20:06.888Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,67.198.130.162,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
97,2021-10-19T12:35:42.192Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,162.220.51.251,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
98,2021-10-19T12:35:50.502Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.238.152.165,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
101,2021-10-19T13:31:26.745Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,199.83.208.81,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
102,2021-10-23T11:09:43.150Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,51.255.119.152,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.68"
103,2021-10-23T15:53:09.640Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,164.132.181.175,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 Edg/87.0.664.75"
104,2021-10-23T15:53:29.721Z,ac6fbd9710f70e549c039cc8500f1a95ea6f4ddc42a2500f05e3fd077c64fa91,91.134.157.203,Skyward Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15"
107,2021-10-25T14:52:59.016Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,198.57.46.193,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
124,2021-10-26T13:54:20.845Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,40.94.29.17,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
139,2021-10-27T15:22:01.318Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,40.94.27.18,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
145,2021-10-27T15:43:49.192Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,40.94.27.94,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
146,2021-10-28T01:16:35.425Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,199.83.211.3,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
147,2021-10-28T01:16:42.430Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,40.78.1.199,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
148,2021-10-28T01:16:51.006Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,50.2.193.111,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
149,2021-10-28T01:16:52.191Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,199.187.208.237,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
150,2021-10-28T01:16:59.855Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,172.93.48.26,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
151,2021-10-28T01:17:08.207Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,20.98.124.235,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
152,2021-10-28T01:17:17.094Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,155.254.28.60,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
153,2021-10-28T01:17:17.315Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,199.83.213.2,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
154,2021-10-28T01:17:23.720Z,1c2b5722edafb224b2a1d2d51aa4e1876aea610361aa66d326f205f884a2c4b4,192.252.223.138,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
155,2021-10-28T01:17:52.614Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,13.64.230.136,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
156,2021-10-28T01:18:01.898Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,216.27.27.98,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
157,2021-10-28T01:18:12.156Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,199.102.236.224,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
158,2021-10-28T01:18:13.464Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,67.198.130.162,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
159,2021-10-28T01:18:21.602Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,99.198.127.150,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
160,2021-10-28T01:18:22.449Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,96.31.67.28,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
161,2021-10-28T01:18:30.640Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,192.3.140.213,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
162,2021-10-28T01:18:32.351Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,67.198.232.31,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
163,2021-10-28T01:18:37.364Z,1c2b5722edafb224b2a1d2d51aa4e1876aea610361aa66d326f205f884a2c4b4,174.127.71.235,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
168,2021-10-28T02:39:47.013Z,1c2b5722edafb224b2a1d2d51aa4e1876aea610361aa66d326f205f884a2c4b4,23.227.188.145,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
171,2021-10-28T02:41:05.145Z,1c2b5722edafb224b2a1d2d51aa4e1876aea610361aa66d326f205f884a2c4b4,199.15.252.106,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
179,2021-10-28T12:47:04.087Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,173.232.105.123,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
180,2021-10-28T12:51:31.851Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,50.7.103.133,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
183,2021-10-28T13:48:35.852Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,52.154.172.206,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
186,2021-10-28T13:51:48.417Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,173.232.105.121,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
187,2021-10-28T16:46:04.313Z,9199dd12d899dfe6d8d4856ddf20d4ae3eaab944aeb38efc67c1f27aac3ac8f2,50.232.195.6,Dunkin Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
188,2021-10-29T16:36:32.400Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,50.2.193.109,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
189,2021-10-29T16:36:46.424Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,162.248.7.6,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
190,2021-10-29T16:36:54.017Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,40.78.53.27,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
191,2021-10-29T16:36:54.197Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,199.15.250.65,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
192,2021-10-29T16:37:04.057Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,173.232.105.12,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
194,2021-10-29T16:37:05.917Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,50.2.139.112,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
196,2021-10-29T16:37:13.045Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,199.102.45.29,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
197,2021-10-29T16:37:19.356Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,40.78.1.199,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
198,2021-10-29T16:37:30.079Z,1c2b5722edafb224b2a1d2d51aa4e1876aea610361aa66d326f205f884a2c4b4,174.127.111.106,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
201,2021-10-29T16:40:08.233Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,104.192.102.64,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
207,2021-10-29T18:02:24.086Z,1c2b5722edafb224b2a1d2d51aa4e1876aea610361aa66d326f205f884a2c4b4,50.232.195.6,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
208,2021-10-29T18:02:36.821Z,1c2b5722edafb224b2a1d2d51aa4e1876aea610361aa66d326f205f884a2c4b4,20.99.168.206,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
211,2021-10-29T21:32:33.746Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,216.119.158.181,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
214,2021-11-01T16:08:28.652Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,174.127.71.236,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
217,2021-11-01T18:26:57.715Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,174.127.126.73,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
220,2021-11-01T18:33:14.472Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,173.244.210.9,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
223,2021-11-01T18:34:45.192Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,20.80.217.81,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
225,2021-11-02T16:42:42.025Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.236.30.213,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
226,2021-11-02T16:42:49.224Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,192.3.140.222,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
227,2021-11-02T16:42:50.484Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,199.38.245.242,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
228,2021-11-02T16:43:01.831Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,69.172.214.40,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
229,2021-11-02T16:43:05.147Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,216.119.158.130,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
230,2021-11-02T16:43:08.290Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,50.2.139.11,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
231,2021-11-02T16:43:20.261Z,96454fd737dda5c6f63639d81fa2a747e063ba7c08f3aeadff2d70a6206ded61,50.2.193.113,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
232,2021-11-02T16:43:23.882Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,65.60.37.194,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
233,2021-11-02T16:45:17.813Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,199.175.49.61,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
234,2021-11-02T16:45:26.708Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,20.99.168.206,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
235,2021-11-02T16:45:34.454Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,192.34.80.175,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
236,2021-11-02T16:45:35.948Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,162.220.51.249,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
237,2021-11-02T16:45:47.253Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,20.72.248.99,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
238,2021-11-02T16:45:52.169Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,50.2.193.159,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
239,2021-11-02T16:45:53.573Z,dd8d2702c955aa5e08f8e94991e9df5d6c5ffcb283079fc58052f92d45f42b6a,199.195.140.120,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
